#{"t_start": 1760788861.0654204, "env_id": "None"}
r,l,t
14.521732,42,1430.73833
14.421476,30,1431.129601
12.125694,20,1431.486378
13.767733,14,1431.700188
14.873371,22,1432.123627
14.392013,56,1433.174311
18.181575,45,1433.970392
20.215221,69,1435.314461
13.743952,12,1435.566868
-7.82482,164,1438.474134
14.8331,26,1438.912554
16.017943,52,1439.913168
13.354056,8,1440.088715
20.42145,89,1441.700993
21.289578,93,1443.050865
15.558607,28,1443.598013
16.937473,54,1444.600352
17.044393,28,1444.939781
15.390442,33,1445.524531
13.65564,16,1445.859319
14.340385,16,1446.068651
14.274713,19,1446.351728
17.813654,40,1446.94299
14.237381,29,1447.352332
18.404816,58,1448.390568
14.438139,13,1448.69223
15.742382,55,1449.594608
12.059902,12,1449.847824
13.63228,12,1450.101505
13.577676,12,1450.316891
15.010705,30,1450.725564
14.697496,30,1451.175747
21.882043,92,1452.664972
15.810269,33,1452.977803
19.836127,84,1454.321726
12.12843,68,1455.617153
14.290556,27,1456.013092
13.526437,14,1456.265651
16.147368,34,1456.775173
14.38799,18,1457.05505
12.973421,18,1457.333616
15.619177,36,1457.908559
15.851438,36,1458.485928
14.754655,29,1459.011968
20.635871,74,1460.259206
14.618837,20,1460.730346
15.299067,27,1461.260727
15.46199,26,1461.554678
13.364228,9,1461.774859
16.544323,51,1462.490792
15.051039,103,1464.559339
22.903746,74,1465.746825
13.325879,9,1465.927786
13.571793,71,1467.00732
13.824721,18,1467.331343
14.340205,26,1467.663741
13.242333,17,1467.97923
16.736644,33,1468.545527
16.150755,42,1469.145613
14.984113,22,1469.522632
13.353217,8,1469.71923
-11.30656,13,1469.995582
15.661163,43,1470.739576
13.439293,12,1470.991579
14.465892,16,1471.263341
17.907083,54,1472.094204
-5.09524,110,1474.202896
14.843351,32,1474.600007
7.295127,214,1477.987395
-10.28273,39,1478.370792
15.536508,43,1479.100684
18.82149,64,1480.043066
13.77431,16,1480.253234
20.28979,131,1482.344178
13.201753,13,1482.562244
17.371309,48,1483.144135
12.576014,25,1483.57465
13.405396,13,1483.83194
13.649627,14,1484.055811
15.485743,20,1484.361195
12.671946,21,1484.673664
17.918499,52,1485.401118
14.296635,51,1486.27479
15.707662,62,1487.271795
18.885325,84,1488.735502
-10.343551,44,1489.574354
-10.68204,12,1489.85159
18.788586,43,1490.444672
14.000069,133,1492.202334
17.69155,75,1493.515105
15.126615,25,1494.04326
14.063386,18,1494.282522
13.844051,36,1494.759367
13.694315,15,1495.065271
14.540985,23,1495.484773
14.995352,24,1495.743531
14.455318,24,1496.091823
18.219834,114,1498.047001
13.83526,18,1498.407945
8.402866,35,1499.048816
13.584281,11,1499.297841
20.942915,68,1500.461502
15.442523,53,1501.435827
15.247532,24,1501.72171
-8.290842,51,1502.634439
13.680992,12,1502.87146
13.866512,17,1503.127227
16.102698,37,1503.703866
15.473467,79,1504.616173
17.416813,58,1505.271995
19.989506,67,1506.184581
14.384563,22,1506.64243
15.238335,36,1507.221867
13.91568,13,1507.510139
14.03283,10,1507.724911
16.603805,34,1508.410206
13.780876,11,1508.660109
13.902103,16,1508.992752
19.920105,101,1510.440783
17.118226,112,1512.54843
16.903404,45,1513.147817
16.976791,45,1513.821171
17.968222,103,1515.101006
13.235925,10,1515.309067
15.301003,29,1515.665972
14.740411,21,1516.124982
17.016722,42,1516.58697
14.557819,28,1516.992988
14.539316,17,1517.210621
15.810155,29,1517.727839
28.009761,173,1520.77453
16.116671,60,1521.904387
15.338393,21,1522.122456
32.941888,223,1525.661083
-7.458077,43,1526.469132
24.295562,184,1528.919307
16.290255,14,1529.204406
17.894075,40,1529.751881
-10.148066,28,1530.202354
14.439544,26,1530.742136
14.122481,18,1531.122878
13.790372,41,1531.616672
-8.79587,42,1532.443102
13.699789,23,1532.718506
14.732588,34,1533.20758
16.210665,63,1533.776574
26.647332,135,1535.525893
21.202668,78,1536.381223
14.305033,28,1536.765888
23.178023,89,1538.222849
15.492999,24,1538.529259
22.150377,81,1539.918367
18.644681,79,1541.371151
13.83561,13,1541.610634
14.350838,21,1542.069046
21.407771,91,1543.601367
14.179121,15,1543.870182
14.952966,14,1544.144081
22.180082,102,1545.71777
13.68111,31,1546.194012
13.002403,35,1546.791556
15.726743,33,1547.481483
12.618555,18,1547.781553
15.203248,30,1548.338897
14.93012,31,1548.721047
14.689369,29,1549.172025
14.918083,21,1549.588137
14.808963,22,1549.945105
24.718279,175,1552.914415
17.29167,45,1553.850189
12.70675,61,1554.558449
14.574547,33,1554.97635
17.47026,51,1555.780401
13.309426,20,1556.191036
13.376203,11,1556.419829
13.482597,12,1556.635393
16.385776,29,1556.897451
14.065641,13,1557.137175
13.43195,21,1557.446594
-10.497499,13,1557.763705
13.602008,19,1558.186025
14.325301,16,1558.557209
13.928136,20,1558.924817
13.935799,13,1559.205702
13.389663,11,1559.457725
20.010567,64,1560.399263
18.084631,54,1561.050533
16.519766,64,1561.987919
-7.255979,46,1562.73067
14.068784,20,1563.042146
15.404453,29,1563.345902
18.348978,64,1564.244311
14.342464,18,1564.525176
16.494497,44,1565.079034
13.707424,10,1565.325266
-3.909403,102,1566.675751
16.990691,41,1567.302661
15.178165,26,1567.637185
17.453748,54,1568.474846
14.403893,11,1568.728007
17.901267,61,1569.662525
16.44525,46,1570.388296
13.42144,19,1570.670413
15.753729,28,1570.933749
19.700105,95,1572.487751
14.381015,24,1572.784812
18.071811,69,1574.011505
15.806635,67,1575.067104
18.111932,59,1575.560577
14.981927,20,1575.825829
17.167402,46,1576.31838
14.909517,25,1576.543083
19.665303,277,1581.645421
21.265089,115,1583.62451
13.24423,9,1583.825836
13.324977,11,1583.995686
13.875994,17,1584.237857
14.882664,23,1584.579587
13.895809,15,1584.784253
12.858327,62,1585.723194
13.919747,17,1586.038058
15.582629,34,1586.690877
14.722916,24,1587.063164
16.341254,63,1587.999842
16.954937,81,1589.338539
21.788049,144,1591.383413
-5.503481,80,1592.574029
44.584628,312,1597.437162
14.391828,27,1597.903317
-9.930209,30,1598.51343
15.416734,29,1598.837195
14.407727,18,1599.221056
-10.905931,65,1600.530847
14.569527,34,1601.082416
17.309267,36,1601.762025
16.715736,51,1602.595469
13.914684,20,1602.800147
18.039564,43,1603.341878
18.928806,62,1604.103444
22.249242,102,1605.713332
14.122262,17,1605.970587
22.022106,102,1607.672507
12.745971,35,1608.141618
16.578498,10,1608.366354
13.944864,18,1608.690335
16.176427,56,1609.545079
13.986179,33,1610.193639
17.029552,99,1611.932032
14.076102,25,1612.369608
13.871322,20,1612.695029
12.699878,8,1612.892725
13.301382,23,1613.210705
18.482638,100,1614.521117
15.877481,36,1615.244219
13.515374,17,1615.540261
17.393177,89,1617.018133
14.633337,52,1617.536463
19.744195,47,1618.006171
14.222775,17,1618.302582
19.307813,72,1619.716652
14.656751,27,1620.030097
14.066676,23,1620.410545
13.675047,17,1620.80792
13.752896,16,1621.100583
13.666289,14,1621.366912
13.622452,11,1621.598383
13.493277,26,1622.129707
20.328779,86,1623.762942
14.857305,26,1624.304661
13.594428,27,1624.86601
14.298879,12,1625.078205
13.63442,9,1625.304418
15.571717,35,1625.919429
12.788177,14,1626.161375
14.157965,8,1626.357872
14.585902,18,1626.641061
13.99237,15,1626.847094
14.314939,31,1627.509688
14.548285,17,1627.721915
16.573614,60,1628.82968
18.093492,60,1629.844651
13.864543,13,1630.047163
15.363232,42,1630.935854
13.043238,25,1631.46897
13.092926,12,1631.705304
12.043278,19,1632.088504
16.34163,48,1633.076429
14.212885,19,1633.377683
13.103719,14,1633.619977
18.381439,41,1634.390096
15.917582,39,1635.177269
18.054542,53,1636.264684
13.762959,10,1636.473059
13.42845,11,1636.709921
14.952114,27,1637.271044
15.602755,55,1638.315259
14.342111,19,1638.663837
17.514667,23,1639.112009
18.087852,53,1640.118259
15.195402,37,1640.787693
17.839082,73,1642.323521
14.423935,18,1642.602456
13.175052,8,1642.758317
17.761807,52,1643.689029
15.110032,62,1644.863052
13.942416,13,1645.162469
15.450854,28,1645.749782
16.024092,38,1646.417034
19.582838,75,1648.060066
-8.237782,83,1649.830471
-8.660098,12,1650.104133
22.772764,124,1652.466146
15.675069,36,1653.212424
15.28525,26,1653.583293
17.689264,121,1655.921633
17.049031,43,1656.644519
12.841147,21,1657.047613
16.102604,32,1657.628402
16.989566,29,1658.055398
18.395497,83,1659.680721
14.816343,30,1660.313427
19.083702,77,1661.793951
14.55405,31,1662.393991
14.720779,33,1662.97925
13.521774,17,1663.292274
13.536943,10,1663.494763
13.823022,12,1663.745973
12.692589,19,1664.044926
13.500619,17,1664.30086
13.634705,9,1664.502806
17.899374,59,1665.642479
15.600648,51,1666.525869
15.17694,31,1667.210888
-10.24627,24,1667.779858
15.324363,36,1668.547056
16.323514,34,1669.195725
15.871959,66,1670.679396
14.189332,19,1671.017385
16.95557,49,1672.101521
16.503264,41,1672.892797
14.67532,22,1673.214371
16.350773,16,1673.466977
15.174385,63,1674.686501
13.502031,10,1674.932879
16.061107,21,1675.167224
13.953729,19,1675.515284
14.691084,59,1676.727049
23.273466,105,1678.914593
17.519498,59,1680.09809
13.782848,9,1680.278946
13.988452,21,1680.777612
13.195029,12,1681.01145
8.683051,18,1681.311852
13.474398,9,1681.514877
15.072217,38,1682.187536
14.095022,19,1682.536899
15.362695,58,1683.692519
14.82371,21,1684.151005
14.550625,26,1684.56909
14.527498,17,1684.8681
15.200518,16,1685.182644
13.156485,11,1685.418216
14.648822,21,1685.7216
14.475428,16,1686.0431
14.385062,25,1686.442372
17.025715,20,1686.890761
14.868726,15,1687.244435
14.060882,54,1688.261739
16.696736,47,1688.955693
22.222919,113,1691.350376
13.153611,9,1691.551432
12.663406,17,1691.847081
14.030096,20,1692.257866
22.685738,90,1694.127523
14.497666,20,1694.439013
14.092157,16,1694.71155
23.1145,139,1697.382146
14.037891,14,1697.584148
17.313774,30,1698.223891
15.173674,43,1699.076408
16.147953,27,1699.492853
17.791685,27,1700.025342
15.578719,24,1700.345165
14.69279,23,1700.827601
19.622593,135,1703.624227
14.107244,13,1703.842612
14.117619,15,1704.130005
15.39886,12,1704.37063
15.682615,62,1705.564261
28.155289,235,1710.585901
12.891164,34,1711.304135
13.183619,84,1712.900142
14.342625,19,1713.206723
14.03184,18,1713.569172
15.594096,68,1714.894345
15.937192,35,1715.590858
16.139747,23,1716.032211
14.444487,33,1716.5789
13.762852,16,1716.911066
15.249553,18,1717.216332
14.221971,21,1717.53073
13.646997,62,1718.811119
14.552807,12,1719.066871
17.279061,51,1720.100696
14.083851,25,1720.531892
