#{"t_start": 1760612182.2635891, "env_id": "None"}
r,l,t
-16.90274,51,717.495658
-12.663971,19,717.958341
-14.561262,40,718.395579
-11.5535,13,718.735859
-12.899255,16,719.083446
-12.275189,13,719.418554
-12.476135,12,719.731796
-13.903035,30,720.478606
-15.172926,66,722.110318
-13.287259,29,722.834189
-15.874755,85,724.935339
-12.632987,13,725.269277
10.697462,44,726.357811
-17.864313,108,729.032582
-12.61357,10,729.295413
11.391006,27,729.95862
12.073594,13,730.256248
-12.522695,9,730.504422
-12.495219,34,731.365339
10.490241,35,732.247374
-12.527465,9,732.486484
-19.297921,129,735.663876
-14.813131,47,736.826767
-13.523052,41,737.849723
-12.426234,10,738.113059
-13.242925,28,738.794554
-13.420384,33,739.635525
-14.526616,32,740.43227
-12.476801,14,740.794008
-12.507106,12,741.104122
-15.730971,47,742.265532
10.412237,51,743.5053
11.944878,16,743.918876
-15.789669,56,745.302634
-16.463887,54,746.632521
-12.908629,20,747.140851
-13.125839,18,747.578547
12.461665,19,748.100856
-16.687065,99,750.526535
-16.705468,75,752.384982
-12.928931,15,752.948532
-13.117159,25,753.533973
-12.746254,16,753.940131
-13.647969,34,754.784587
-12.151163,8,754.999039
-13.694696,31,755.769948
-12.637129,10,756.011004
-12.953025,30,756.742828
-31.492428,245,762.912392
-13.089956,33,763.691707
-27.710738,191,768.376945
-12.547383,18,768.854957
-12.696232,15,769.240344
-13.686637,38,770.185067
-12.504919,11,770.474246
-12.766804,13,770.810498
-15.4337,74,772.630032
-13.668842,30,773.383677
-15.039232,54,774.694007
12.051758,14,775.060404
-15.21006,90,777.282439
-25.065154,163,781.273826
-14.725557,44,782.362848
-73.996658,280,789.129005
11.420868,30,789.878096
-13.400902,29,790.604484
-30.488503,253,796.801976
10.01035,100,799.24798
-19.232741,83,801.303194
-11.816318,25,801.931931
10.058397,75,803.729711
-13.917826,41,804.749638
-12.392263,18,805.213305
11.531732,27,805.885931
-12.724163,42,807.113876
-59.80383,214,812.254473
-14.483177,60,813.721238
-13.152541,28,814.420644
-13.455415,42,815.462972
-14.311056,42,816.506311
-14.135325,32,817.308505
-14.505428,41,818.376016
-17.58602,98,820.808763
11.985589,34,821.650274
-12.611516,16,822.098717
-15.11571,69,823.823619
-13.509922,36,824.719045
-12.500867,16,825.309365
11.677578,15,825.653915
-13.54877,47,826.844707
11.396354,21,827.374467
-12.482202,15,827.760862
-13.012637,27,828.437273
-12.477095,9,828.677307
-16.821295,78,830.589275
-19.898459,123,833.606299
-13.427573,35,834.477404
-14.057519,41,835.493706
-12.506326,16,835.901487
-13.923095,45,837.033803
-12.296882,8,837.248945
-14.908069,62,838.958256
-15.414084,61,840.493727
-13.134204,30,841.252459
